Sr.No.,Colleges,CourseName,ST,City
167,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
168,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
169,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,0,Kolhapur
170,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,0,Kolhapur
171,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0,Kolhapur
172,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
173,"Sharad Institute of Technology College of engineering, Yadrav",Electrical Engineering,0,Yadrav
174,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,0,Yadrav
175,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,0,Yadrav
176,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,0,Yadrav
177,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,0,Ashta
178,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical engineering,0,Ashta
179,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,0,Ashta
180,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,0,Ashta
181,"Department of Technology , Kolhapur",Civil Engineering,0,Kolhapur
182,"Department of Technology , Kolhapur",Food Technology,0,Kolhapur
183,"Department of Technology , Kolhapur",Chemical Engineering,0,Kolhapur
184,"Department of Technology , Kolhapur",Mechanical Engineering,0,Kolhapur
185,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Civil Engineering,0,Jaysingpur
186,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Mechanical Engineering,0,Jaysingpur
187,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
188,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,0,Islampur
189,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,0,Kolhapur
190,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,0,Kolhapur
191,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,0,Kolhapur
192,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Instrumentation Engineering,0,Navi Mumbai
193,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,0,Navi Mumbai
194,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,0,Nagpur
